iter	Passed	Remaining
0	1812	215739
1	3749	221233
2	5812	226693
3	7779	225613
4	9545	219537
5	11472	217982
6	13344	215415
7	15159	212229
8	16953	209090
9	18747	206219
10	20686	204986
11	22768	204919
12	24825	204335
13	26727	202367
14	28820	201742
15	30928	201034
16	32845	199003
17	34964	198131
18	37065	197029
19	38945	194725
20	40842	192542
21	42737	190377
22	44876	189261
23	47478	189914
24	49565	188350
25	51657	186762
26	53776	185231
27	56019	184063
28	58066	182207
29	60208	180625
30	62281	178808
31	64368	177013
32	66212	174560
33	68274	172694
34	70150	170366
35	72072	168168
36	74244	166547
37	76396	164855
38	78466	162969
39	80728	161457
40	82905	159745
41	84889	157652
42	87102	155973
43	89160	154005
44	91256	152093
45	93091	149755
46	94952	147480
47	97018	145527
48	99164	143686
49	101078	141510
50	102963	139303
51	105036	137355
52	107141	135442
53	109041	133272
54	111129	131334
55	113209	129381
56	115251	127383
57	117290	125379
58	119379	123426
59	121278	121278
60	123165	119127
61	125205	117127
62	127251	115132
63	129323	113158
64	131172	110992
65	133214	108993
66	135301	107029
67	137426	105091
68	139358	103004
69	141420	101014
70	143315	98908
71	145351	96901
72	147211	94779
73	149283	92797
74	151113	90668
75	152970	88561
76	155066	86595
77	156896	84482
78	158974	82505
79	161168	80584
80	163213	78584
81	165091	76505
82	167050	74468
83	169093	72468
84	171128	70464
85	173182	68467
86	175238	66469
87	177287	64468
88	179142	62397
89	181189	60396
90	183225	58390
91	185294	56393
92	187339	54389
93	189199	52331
94	191270	50334
95	193358	48339
96	195394	46330
97	197261	44283
98	199096	42232
99	200937	40187
100	202816	38153
101	204854	36150
102	206907	34149
103	209013	32155
104	211109	30158
105	213177	28155
106	215056	26128
107	216922	24102
108	218963	22097
109	221053	20095
110	222909	18073
111	224815	16058
112	226681	14042
113	228550	12028
114	230593	10025
115	232453	8015
116	234375	6009
117	236304	4005
118	238393	2003
119	240438	0
