日付,レース数,的中レース数,的中率,投資額,払戻額,回収率
2026-06-01,144,27,0.1875,72000.0,33140.0,0.4602777777777778
2026-06-02,134,22,0.16417910447761194,67000.0,42140.0,0.628955223880597
2026-06-03,96,21,0.21875,48000.0,27200.0,0.5666666666666667
2026-06-04,144,29,0.2013888888888889,72000.0,40310.0,0.5598611111111111
2026-06-05,132,37,0.2803030303030303,66000.0,67760.0,1.0266666666666666
2026-06-06,131,33,0.25190839694656486,65500.0,48650.0,0.7427480916030534
2026-06-07,156,45,0.28846153846153844,78000.0,60400.0,0.7743589743589744
2026-06-08,143,34,0.23776223776223776,71500.0,67070.0,0.938041958041958
2026-06-09,144,45,0.3125,72000.0,49460.0,0.6869444444444445
2026-06-10,144,40,0.2777777777777778,72000.0,55080.0,0.765
2026-06-11,144,46,0.3194444444444444,72000.0,58150.0,0.8076388888888889
2026-06-12,144,42,0.2916666666666667,72000.0,59480.0,0.8261111111111111
2026-06-13,156,45,0.28846153846153844,78000.0,62700.0,0.8038461538461539
2026-06-14,144,43,0.2986111111111111,72000.0,50740.0,0.7047222222222222
2026-06-15,132,36,0.2727272727272727,66000.0,54500.0,0.8257575757575758
2026-06-16,143,43,0.3006993006993007,71500.0,49410.0,0.691048951048951
2026-06-17,156,41,0.26282051282051283,78000.0,57720.0,0.74
2026-06-18,155,37,0.23870967741935484,77500.0,64020.0,0.8260645161290323
2026-06-19,144,41,0.2847222222222222,72000.0,58730.0,0.8156944444444445
2026-06-20,168,51,0.30357142857142855,84000.0,61530.0,0.7325
2026-06-21,192,60,0.3125,96000.0,80510.0,0.8386458333333333
2026-06-22,168,47,0.27976190476190477,84000.0,64170.0,0.7639285714285714
2026-06-23,144,36,0.25,72000.0,49140.0,0.6825
2026-06-24,180,49,0.2722222222222222,90000.0,54800.0,0.6088888888888889
2026-06-25,192,54,0.28125,96000.0,82490.0,0.8592708333333333
2026-06-26,180,34,0.18888888888888888,90000.0,41810.0,0.46455555555555555
2026-06-27,168,53,0.31547619047619047,84000.0,74940.0,0.8921428571428571
2026-06-28,192,61,0.3177083333333333,96000.0,89310.0,0.9303125
2026-06-29,132,36,0.2727272727272727,66000.0,38330.0,0.5807575757575758
