日付,レース場,レースNo,予想順位,予想3連単,予想確率,結果3連単,払戻,的中,投資額,払戻額
2026-06-01,桐生,1,1,1-4-2,0.5595365616665355,1-2-3,890.0,不的中,100.0,0.0
2026-06-01,多摩川,1,1,4-1-2,0.5595365616665355,1-3-2,2760.0,不的中,100.0,0.0
2026-06-01,常滑,1,1,1-2-6,0.4481104905600689,1-2-3,420.0,不的中,100.0,0.0
2026-06-01,津,1,1,1-2-4,0.5595365616665355,1-6-4,3000.0,不的中,100.0,0.0
2026-06-01,びわこ,1,1,2-3-4,0.4481104905600689,2-4-3,1820.0,不的中,100.0,0.0
2026-06-01,住之江,1,1,3-4-1,0.44165235066786596,3-2-1,6060.0,不的中,100.0,0.0
2026-06-01,尼崎,1,1,3-1-4,0.4481104905600689,1-5-4,13720.0,不的中,100.0,0.0
2026-06-01,鳴門,1,1,1-2-5,0.43850271961653225,3-1-4,4160.0,不的中,100.0,0.0
2026-06-01,下関,1,1,1-3-5,0.43850271961653225,1-3-5,780.0,的中,100.0,780.0
2026-06-01,若松,1,1,4-3-1,0.4481104905600689,4-1-5,5960.0,不的中,100.0,0.0
2026-06-01,唐津,1,1,3-1-2,0.4481104905600689,1-3-2,790.0,不的中,100.0,0.0
2026-06-01,大村,1,1,2-6-1,0.43850271961653225,6-2-1,36220.0,不的中,100.0,0.0
2026-06-01,桐生,1,2,1-2-3,0.048940382037051595,1-2-3,890.0,的中,100.0,890.0
2026-06-01,多摩川,1,2,1-3-4,0.048940382037051595,1-3-2,2760.0,不的中,100.0,0.0
2026-06-01,常滑,1,2,1-2-3,0.06132105660443679,1-2-3,420.0,的中,100.0,420.0
2026-06-01,津,1,2,1-2-3,0.048940382037051595,1-6-4,3000.0,不的中,100.0,0.0
2026-06-01,びわこ,1,2,1-2-4,0.06132105660443679,2-4-3,1820.0,不的中,100.0,0.0
2026-06-01,住之江,1,2,1-2-3,0.06203862770357045,3-2-1,6060.0,不的中,100.0,0.0
2026-06-01,尼崎,1,2,1-3-2,0.06132105660443679,1-5-4,13720.0,不的中,100.0,0.0
2026-06-01,鳴門,1,2,1-2-3,0.0623885867092742,3-1-4,4160.0,不的中,100.0,0.0
2026-06-01,下関,1,2,2-3-5,0.0623885867092742,1-3-5,780.0,不的中,100.0,0.0
2026-06-01,若松,1,2,1-2-4,0.06132105660443679,4-1-5,5960.0,不的中,100.0,0.0
2026-06-01,唐津,1,2,1-2-3,0.06132105660443679,1-3-2,790.0,不的中,100.0,0.0
2026-06-01,大村,1,2,2-1-3,0.0623885867092742,6-2-1,36220.0,不的中,100.0,0.0
2026-06-01,桐生,1,3,1-2-4,0.048940382037051595,1-2-3,890.0,不的中,100.0,0.0
2026-06-01,多摩川,1,3,1-4-3,0.048940382037051595,1-3-2,2760.0,不的中,100.0,0.0
2026-06-01,常滑,1,3,1-2-4,0.06132105660443679,1-2-3,420.0,不的中,100.0,0.0
2026-06-01,津,1,3,1-3-2,0.048940382037051595,1-6-4,3000.0,不的中,100.0,0.0
2026-06-01,びわこ,1,3,2-1-4,0.06132105660443679,2-4-3,1820.0,不的中,100.0,0.0
2026-06-01,住之江,1,3,1-3-2,0.06203862770357045,3-2-1,6060.0,不的中,100.0,0.0
2026-06-01,尼崎,1,3,1-3-5,0.06132105660443679,1-5-4,13720.0,不的中,100.0,0.0
2026-06-01,鳴門,1,3,1-3-2,0.0623885867092742,3-1-4,4160.0,不的中,100.0,0.0
2026-06-01,下関,1,3,2-5-3,0.0623885867092742,1-3-5,780.0,不的中,100.0,0.0
2026-06-01,若松,1,3,1-3-2,0.06132105660443679,4-1-5,5960.0,不的中,100.0,0.0
2026-06-01,唐津,1,3,1-3-2,0.06132105660443679,1-3-2,790.0,的中,100.0,790.0
2026-06-01,大村,1,3,2-1-5,0.0623885867092742,6-2-1,36220.0,不的中,100.0,0.0
2026-06-01,桐生,1,4,1-2-5,0.048940382037051595,1-2-3,890.0,不的中,100.0,0.0
2026-06-01,多摩川,1,4,1-4-6,0.048940382037051595,1-3-2,2760.0,不的中,100.0,0.0
2026-06-01,常滑,1,4,1-2-5,0.06132105660443679,1-2-3,420.0,不的中,100.0,0.0
2026-06-01,津,1,4,1-3-4,0.048940382037051595,1-6-4,3000.0,不的中,100.0,0.0
2026-06-01,びわこ,1,4,2-4-1,0.06132105660443679,2-4-3,1820.0,不的中,100.0,0.0
2026-06-01,住之江,1,4,1-3-4,0.06203862770357045,3-2-1,6060.0,不的中,100.0,0.0
2026-06-01,尼崎,1,4,1-3-6,0.06132105660443679,1-5-4,13720.0,不的中,100.0,0.0
2026-06-01,鳴門,1,4,1-3-4,0.0623885867092742,3-1-4,4160.0,不的中,100.0,0.0
2026-06-01,下関,1,4,3-1-5,0.0623885867092742,1-3-5,780.0,不的中,100.0,0.0
2026-06-01,若松,1,4,1-3-4,0.06132105660443679,4-1-5,5960.0,不的中,100.0,0.0
2026-06-01,唐津,1,4,1-3-4,0.06132105660443679,1-3-2,790.0,不的中,100.0,0.0
2026-06-01,大村,1,4,2-1-6,0.0623885867092742,6-2-1,36220.0,不的中,100.0,0.0
2026-06-01,桐生,1,5,1-5-2,0.048940382037051595,1-2-3,890.0,不的中,100.0,0.0
2026-06-01,多摩川,1,5,3-1-4,0.048940382037051595,1-3-2,2760.0,不的中,100.0,0.0
2026-06-01,常滑,1,5,1-3-2,0.06132105660443679,1-2-3,420.0,不的中,100.0,0.0
2026-06-01,津,1,5,1-3-5,0.048940382037051595,1-6-4,3000.0,不的中,100.0,0.0
2026-06-01,びわこ,1,5,2-4-3,0.06132105660443679,2-4-3,1820.0,的中,100.0,1820.0
