race_id,escape_strength,inner_collapse_risk,attack_pressure,race_upset_score,probability_flatness,dynamic_rerank_subset,scenario,result_scenario,winner_course,winner_style,lane1_status,top3_shape,is_outer_chain,is_inner_dominant
2026-07-06_01_01,0.18901328586853164,0.5552640079486676,0.36481681992596504,0.4824968033209229,0.9550911295183068,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-06_01_02,0.2604141394728995,0.5341210788866732,0.3648273644585232,0.4718302018586348,0.9403651490595533,upset_or_flat,S5_OUTER_WIN_OR_CHAIN,C6__MAKURI_SASHI__IN_OUT__OUTER_CHAIN,6,MAKURI_SASHI,IN_OUT,OUTER_CHAIN,True,False
2026-07-06_01_03,0.2397417530175184,0.5333032695442297,0.36961649715127154,0.47259301860212377,0.9536749155437484,upset_or_flat,S4_C4_WIN_KADO,C4__MAKURI__IN_OUT__OUTER_CHAIN,4,MAKURI,IN_OUT,OUTER_CHAIN,True,False
2026-07-06_01_04,0.2781980932146581,0.5090405791248227,0.32895223133590334,0.45701667362388154,0.9388699835407817,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-06_01_05,0.25343733718083844,0.527809779188654,0.3721920001672238,0.48097237765321194,0.9484481408921311,upset_or_flat,S5_OUTER_WIN_OR_CHAIN,C5__MAKURI__IN_OUT__OUTER_CHAIN,5,MAKURI,IN_OUT,OUTER_CHAIN,True,False
2026-07-06_01_06,0.30087769008744153,0.5045325388428268,0.3753275832960179,0.468299739110832,0.8904249506670422,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__OUTER_CHAIN,1,ESCAPE,IN_WIN,OUTER_CHAIN,True,False
2026-07-06_01_07,0.2360262108815602,0.5239920553452637,0.37101757631818333,0.46572935687144595,0.9394639628257937,upset_or_flat,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-06_01_08,0.3124449907340138,0.49930898199578416,0.3347150703903891,0.4512727244379962,0.9159079101477968,stable_escape,S5_OUTER_WIN_OR_CHAIN,C5__MAKURI_SASHI__IN_REMAIN__MIXED,5,MAKURI_SASHI,IN_REMAIN,MIXED,False,False
2026-07-06_01_09,0.2861050065197295,0.5212793623703911,0.37882390140425215,0.4794702928710981,0.928966655810687,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
2026-07-06_01_10,0.20477816549963213,0.5491169313154574,0.34904443276068275,0.46985174403917407,0.9505270763698235,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-06_01_11,0.21346570606071286,0.5409037271411473,0.362139718566949,0.4692835357908294,0.949093930483978,attack_or_collapse,S5_OUTER_WIN_OR_CHAIN,C6__SASHI__IN_REMAIN__CENTER_OUTER,6,SASHI,IN_REMAIN,CENTER_OUTER,False,False
2026-07-06_01_12,0.270593273624287,0.5237038219405037,0.37821907373437547,0.4713346494298701,0.9017212874688327,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-06_04_01,0.26216525393498846,0.5361618312074712,0.39876051061461215,0.47275820917367,0.9305004598601742,attack_or_collapse,S3_C3_WIN_CENTER,C3__MAKURI_SASHI__IN_REMAIN__INNER_TOP3,3,MAKURI_SASHI,IN_REMAIN,INNER_TOP3,False,True
2026-07-06_04_02,0.27376797368815675,0.5146846990520397,0.34565801251349393,0.45310969264427153,0.9232916795897972,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
